n_components,aic,bic,log_likelihood
2,33767.06023434637,33893.96069943897,-16864.530117173184
3,32925.329599485376,33119.01978304776,-16433.664799742688
4,26380.781713187705,26641.261615219883,-13151.390856593853
5,25997.31099691846,26324.580617420423,-12949.65549845923
6,23463.201763958295,23857.26110293005,-11672.600881979148
7,23044.97164932749,23505.82070676903,-11453.485824663745
8,22400.32513013033,22927.963906041663,-11121.162565065166
9,21711.249144716057,22305.677639097175,-10766.624572358029
10,21038.53181020301,21699.75002305392,-10420.265905101505
11,21454.87329238839,22182.881223709086,-10618.436646194195
12,20473.865716355424,21268.66336614591,-10117.932858177712
