n_components,aic,bic,log_likelihood
2,83244.98624930369,83381.98271637125,-41603.493124651846
3,81972.33079323004,82181.43066401735,-40957.16539661502
4,81816.82880092438,82098.03207543146,-40869.41440046219
5,81591.00539030042,81944.31206852724,-40746.50269515021
6,81440.0905007784,81865.500582725,-40661.0452503892
7,81352.24190308689,81849.75538875324,-40607.120951543446
8,80453.93740222284,81023.55429160896,-40147.96870111142
9,80282.37206070611,80924.092353812,-40052.186030353056
10,80286.93936301062,81000.76305983626,-40044.46968150531
11,80076.37195582404,80862.29905636945,-39929.18597791202
12,80085.11600551647,80943.14650978163,-39923.55800275823
