customer_id,R,F,M,F_log1p,M_log1p,R_z,F_z,M_z,gmm_component,gmm_max_proba,gmm_p_0,gmm_p_1,gmm_p_2,gmm_p_3,gmm_p_4,gmm_p_5,gmm_p_6,gmm_p_7
1,68,12,1265.0,2.5649493574615367,7.143617602704121,0.6325551163312348,-0.9526872947026088,-0.2899162374546297,2,0.6528935294268144,0.025495984995053376,0.2323302418926542,0.6528935294268144,0.010140647472232719,0.011020620411844241,0.0009226768186368417,0.0671962989827644,1.5523576330139172e-17
2,99,12,1647.0,2.5649493574615367,7.4073177104694174,1.6978387564924886,-0.9526872947026088,0.5572811993927609,2,0.5474836576030958,0.002524250672547746,0.01656098496591115,0.5474836576030958,5.399571122240382e-06,1.9374874145566534e-05,0.41972849589762196,0.013677836415555658,6.294096959911415e-39
3,63,19,1806.0,2.995732273553991,7.499423290592229,0.4607351743697422,0.3082902515834437,0.853191626053788,0,0.6258414399792794,0.6258414399792794,0.08455381738578768,0.2490275758240332,0.020709522033098553,0.01829429845218598,0.0003566088669328036,0.0012167374586465388,3.589502988196156e-14
4,65,22,1207.0,3.1354942159291497,7.0967213784947605,0.5294631511543393,0.717398098196787,-0.4405811775818159,0,0.47747874058632644,0.47747874058632644,0.41447166931858165,0.05929487106337447,0.008786668261039455,0.03287930699567835,0.0011161923214035997,0.005972551453592127,3.916680230986665e-15
5,49,17,934.0,2.8903717578961645,6.840546529288687,-0.0203606631224369,-0.0001185537488582,-1.2636019850868243,4,0.4535879449974312,0.10428602459891026,0.32923851240175317,0.011954864357135653,0.026471425457735297,0.4535879449974312,1.0511750426602754e-09,0.0744612059159504,2.121990936109719e-08
6,71,13,2436.0,2.6390573296152584,7.798523053625206,0.7356470815081303,-0.7357601943099386,1.8141186228251864,2,0.8632312499126168,0.03774158279400338,0.05522638206722671,0.8632312499126168,0.006920835166693756,0.011031859444097429,0.014383888730381557,0.011464201884980117,6.3399432726315e-19
7,46,18,1413.0,2.9444389791664403,7.254177846456518,-0.1234526282993324,0.1581457354442284,0.0652840539598124,0,0.6375530984419404,0.6375530984419404,0.05421473817013747,0.0542174186814211,0.12341497012240027,0.12657485188038609,1.832621222324344e-10,0.0040244360035945614,4.865168578597325e-07
8,67,5,1851.0,1.791759469228055,7.524021415206125,0.5981911279389363,-3.215950417859041,0.9322187766330876,6,0.7134462072701196,1.951513064026666e-09,6.048640255082105e-05,0.28561369050502794,0.0008617038531452415,1.7877443191271546e-05,3.2574451560371136e-08,0.7134462072701196,3.635240682545406e-21
9,12,21,1576.0,3.091042453358316,7.3632795869630385,-1.2918282336374818,0.5872799519083906,0.4157985671923238,7,0.8048934164143485,0.1287062167675855,3.774662958078081e-05,6.93275923618187e-05,0.04034546031092933,0.025755447471975744,3.539069066266005e-31,0.00019238481321831293,0.8048934164143485
10,13,21,1228.0,3.091042453358316,7.113956109566034,-1.2574642452451834,0.5872799519083906,-0.3852106276337171,7,0.7742537709229004,0.08309967296921912,7.937096409581493e-05,5.367148321799827e-05,0.029507451055966086,0.11211625126125754,1.0014398857531441e-30,0.0008898113433430443,0.7742537709229004
11,8,15,1548.0,2.772588722239781,7.3453648404168685,-1.429284187206676,-0.3448902653183889,0.3582433106385635,7,0.7919164854391997,0.042473735370710745,1.3453517178004983e-05,3.9144660955002775e-05,0.13364899013000348,0.030603739145934773,4.711570423734052e-35,0.0013044517360184858,0.7919164854391997
